Taxa,Max.Rel.Ab,Mean.Rel.Ab,Median.Rel.Ab,Std.dev
PALSA-278 sp003133505,0.000147412289687636,9.83089874783541e-06,0,2.851120418425e-05
Janthinobacterium sp002869965,0.000142131398992675,9.822730041647e-06,0,2.78462001500897e-05
Haematobacter sp002196855,0.000162678850887524,9.82216405546292e-06,0,3.16574648569673e-05
Idiomarina maris,1.72372203837117e-05,9.81843245669842e-07,0,3.35648987279734e-06
UBA5633 sp002382025,1.61831457559308e-05,9.81701308111783e-07,0,3.17976043877852e-06
Pseudomonas_E sp003253735,6.45390752532633e-06,9.81011038162056e-07,0,1.84373719358893e-06
Lysobacter_A dokdonensis,7.97322482154029e-05,9.80649655162055e-06,0,1.93546639229802e-05
Palsa-465 sp003165655,0.000409522053161818,9.80551404462198e-05,0,0.00014682470549564
Palsa-1447 sp003140665,8.4803346527719e-05,9.80549113254935e-06,0,2.02292528265848e-05
Cytophaga_A xylanolytica,6.8637607188668e-05,9.80017941448701e-06,2.04366605897121e-07,1.76612161488791e-05
Bog-366 sp003165615,8.1895716493131e-05,9.79557629065142e-06,1.02061024030584e-07,1.9731843473181e-05
Pseudarthrobacter sp002892835,8.26699439394443e-05,9.79498878186917e-06,0,2.10807178649419e-05
Dysgonomonas sp900079735,0.000151436379137881,9.79200052921668e-06,0,3.27858977148197e-05
UBA1550 sp000996605,0.00125457331235373,9.78639638553677e-05,0,0.000317764003873749
GCA-900066995 sp900291955,0.000183077392977924,9.78256444310043e-06,0,3.6440489768591e-05
Luteimonas sp001014645,0.000100277384942761,9.78237923436107e-06,0,2.43440654497771e-05
Thiobacillus sp001899775,0.000878150405850083,9.77882165336881e-05,3.76021606541616e-05,0.000177006058003354
UBA3913 sp002391425,0.000182602928165579,9.77805732687376e-06,0,3.5686443952843e-05
GCA-900066575 sp900066385,9.59086342610481e-05,9.77672178004047e-06,0,2.4983229654412e-05
Halarcobacter anaerophilus,0.000211379501688188,9.77492575039829e-06,0,4.0385408437185e-05
Owenweeksia sp002695025,0.000228443832033041,9.77353507579419e-06,0,4.30396179128704e-05
Hyphomonas sp000682735,0.00018340578889446,9.77200492231974e-06,0,3.46279081143688e-05
Bradyrhizobium sp900099855,0.000636426606803381,9.76944798937723e-05,0,0.000201975575789881
Methylobacterium nodulans,0.000224033366813413,9.76569720168939e-06,0,4.21815139196997e-05
Terracidiphilus sp003161045,0.000690723932909522,9.75825492942962e-05,0,0.000203997577640254
Thioclava dalianensis,0.000829655947535896,9.75500965868813e-05,0,0.000205855885698438
DSL-40 sp003258405,0.00207294070705127,9.73644702648805e-05,5.22892628074706e-07,0.000396322639579149
Rheinheimera pacifica,0.00102968623443227,9.73235311200105e-05,0,0.000267292185478327
Thioflexothrix psekupsii,9.81927745256113e-05,9.73206330407269e-06,0,2.59639415147446e-05
Thioalkalivibrio sp000381945,0.000266048884386132,9.7180866774078e-06,0,5.02456872813381e-05
Cribrihabitans marinus,0.000161502599942434,9.71615780420477e-06,0,3.11687927302314e-05
Blautia_A sp900066355,5.37662666096916e-05,9.71408289796314e-06,0,1.6424540131503e-05
Acidomonas methanolica,0.000137240989358345,9.71024955925607e-06,0,3.12749655812775e-05
Clostridium beijerinckii_D,0.00104683806470424,9.71019887985134e-05,3.49529808174137e-06,0.000258262426050352
Streptomyces anulatus_A,0.000150958218801604,9.70920344381402e-06,0,3.04706706061038e-05
Granulibacter bethesdensis_B,5.75120295995246e-05,9.70827233956136e-06,0,1.81965103727356e-05
Fen-1137 sp003157315,0.000116667677870809,9.7053024694663e-06,0,2.52147901358001e-05
Fen-1137 sp003142855,7.48325663730263e-05,9.70038564296034e-06,0,2.1246693466868e-05
Methylotenera versatilis,0.00102404601707567,9.69954820092235e-05,1.66816025854039e-05,0.000224604202795207
Sulfotelmatobacter sp003156805,0.000111322651911002,9.69345183108836e-06,0,2.49838836478698e-05
TOLSYN sp003010405,5.14042680032236e-05,9.68925295904313e-06,1.58061853556528e-06,1.54564575848796e-05
TMED14 sp002737315,0.000271180161421513,9.68500576505403e-06,0,5.12482334011196e-05
Halorubrum sp000296615,2.33296380225615e-05,9.68364457086934e-07,0,4.44029746974735e-06
OLB14 sp002343775,0.00161043738580023,9.68358387538707e-05,1.47117817028137e-05,0.00030554566517975
Phenylobacterium sp001425305,4.8033959195016e-05,9.68292691178192e-06,1.18029540389324e-06,1.39797867952604e-05
Cecembia rubra,0.000943045433654672,9.68122624602064e-05,3.68965787979608e-06,0.00023200765517955
Bacillus_D sp001685025,0.000268494798301933,9.680378961332e-06,0,5.07239694373671e-05
Acinetobacter sp002365595,0.000163452223195765,9.67944895238978e-06,0,3.58763401325153e-05
UBA4064 sp002382065,0.00116688696652233,9.67596589016401e-05,1.47800678104729e-05,0.000233355887966692
Palsa-881 sp003161535,8.13720699875851e-05,9.66917035512663e-06,0,2.07529225806251e-05
Hyphomonas chukchiensis,9.28904399229681e-05,9.66601742294655e-06,0,2.52584785940987e-05
Mongoliibacter ruber,8.4025631470887e-05,9.66325780486173e-06,0,2.14869774525459e-05
Nodosilinea sp003022385,0.000119753431649579,9.66158619724969e-06,0,2.64943241764435e-05
UBA4720 sp003223425,0.000153238057032695,9.66015278068864e-06,0,3.12999748161743e-05
UBA3361 sp002281555,7.0451243290974e-05,9.65410805603917e-06,3.3202404689665e-06,1.66639836437345e-05
Flavobacterium sp002483285,9.14894953992834e-06,9.65267277078035e-07,0,2.15801198380548e-06
UBA5615 sp002382075,0.000159025137287072,9.65012754945001e-06,0,3.17557760479638e-05
Mesorhizobium loti_E,0.000116935998160157,9.64668775997406e-06,0,2.55298432191651e-05
Pseudocitrobacter sp000330845,0.000240842992564678,9.64128404577832e-06,0,4.56049235369511e-05
Vibrio tasmaniensis,6.80932059158669e-05,9.63838332112807e-06,5.74325553472902e-06,1.63989666987355e-05
KH17 sp900199505,0.000147032189140582,9.63691144005578e-06,0,2.95214719858693e-05
AV69 sp003219925,0.00123655126915713,9.63414500843377e-05,0,0.000255881618706094
Pseudomonas_E versuta,2.43284253237301e-05,9.63294284254214e-07,0,4.58822442691025e-06
Lactobacillus_F plantarum,0.000105170632195318,9.6316551918484e-06,0,2.63311302918983e-05
Mesorhizobium sp000502835,0.000119373417261174,9.62346315664793e-06,0,2.41005909564505e-05
Notoacmeibacter sp002727065,0.000236330059375222,9.62319945536962e-06,0,4.45130358896994e-05
Limimaricola pyoseonensis,0.000175954570048571,9.6212311218296e-06,0,3.33041790772418e-05
Rhizobacter sp001464195,0.00159450356286182,9.62084364131566e-05,8.69218688521565e-06,0.000300439944890188
Leaf454 sp001425485,0.000252572671588641,9.6154036223873e-06,0,4.76591749585812e-05
Pseudomonas_E alkylphenolica,1.18134568180973e-05,9.6130029564829e-07,0,2.69571464545241e-06
Paenisporosarcina_A sp003058165,0.000201739492644999,9.6123929250904e-06,0,3.86130693055049e-05
Mycolicibacterium sp000328565,7.92799943803688e-05,9.60471349299246e-06,0,2.14488037413752e-05
1-14-2-50-31-20 sp002786785,0.000115833259422014,9.60434228721432e-06,0,2.74652853473292e-05
Flavobacterium antarcticum,0.00016948522370857,9.60328146027585e-06,0,3.493568932122e-05
Desulfovibrio_C alaskensis,0.00231649731415127,9.60314615825445e-05,0,0.000437419265351334
Sphingomonas sp900109205,0.000242925246870241,9.60072616397076e-06,0,4.58891126419657e-05
Nitrosomonas oligotropha,0.000174170331143331,9.59533818451608e-06,0,3.31275518574197e-05
Alcaligenes faecalis_C,0.00165782762578564,9.59187008941205e-05,1.51382671034904e-07,0.000325416202042285
Variovorax boronicumulans,6.46351303274218e-05,9.58863522385975e-06,0,1.81323661822258e-05
Donghicola tyrosinivorans,5.59636306985219e-05,9.58798358765615e-06,0,1.71636170911305e-05
Halarcobacter sp003252105,2.39916997137131e-05,9.58390274114886e-07,0,4.52424566004817e-06
Sulfurovum sp000296775,0.000140175031329539,9.57620926339097e-06,0,2.96761611089099e-05
Jeotgalibaca dankookensis,0.000243856612311961,9.57072535412059e-06,0,4.60581314595027e-05
Hafnia proteus,0.00133405601053218,9.56936887586439e-05,8.47393328216042e-07,0.00027173701743386
Bordetella hinzii,0.00265718546707334,9.56665597819864e-05,0,0.00050201912755326
Citrobacter werkmanii,2.54789044912883e-05,9.56519599792565e-07,0,4.80918737094323e-06
Fusobacterium_A ulcerans,0.000199313500662578,9.56467988916102e-06,0,3.87348110586119e-05
GJ-E10 sp900290295,6.34787069535018e-05,9.56454978795688e-06,8.95747015273853e-07,1.58518374910115e-05
Enhydrobacter aerosaccus,0.000872416373417465,9.56075931996062e-05,0,0.000204363981039095
Rugosibacter aromaticivorans,0.000398587229708035,9.56037529770973e-05,4.71177203930171e-05,0.000108646364351556
Rhizobacter sp002281415,0.000880148069170217,9.55532799156362e-05,8.72170717224296e-06,0.000204158282956124
Mycolicibacterium sp002723835,0.000101626016260163,9.54929345043865e-06,0,2.72961836257619e-05
Shewanella oneidensis,8.85922418769134e-05,9.54851304174321e-06,0,2.12851190144678e-05
Marinobacter persicus,0.000198072751894891,9.54349932417527e-06,0,3.85058635865898e-05
Novosphingobium fuchskuhlense,0.0020044157901868,9.54000134330201e-05,2.87574017283786e-06,0.000377415800177744
Lysobacter sp001427225,7.51558791171763e-05,9.52803354286827e-06,0,2.01347313654619e-05
Arsukibacterium sp002364615,0.000133826141468265,9.52469731775429e-06,0,2.82322438085945e-05
Kocuria palustris,0.00106492192700899,9.52347090365174e-05,3.85867370411486e-06,0.000230425278166054
Algoriphagus sp003259255,0.00102292073094993,9.52306914277538e-05,1.89228338793631e-07,0.000222271149806551
Pseudohongiella acticola,1.21115241545025e-05,9.5224696252497e-07,0,2.57813347254656e-06
Streptomyces griseofuscus,0.000163757668090806,9.52189892511549e-06,0,3.59305732065593e-05
Streptomyces caatingaensis,0.000266577657202543,9.52063061437653e-06,0,5.03784418602967e-05
Ketogulonicigenium vulgare,7.9962677236999e-05,9.51455070228403e-06,0,2.00798570884779e-05
Xanthomarina gelatinilytica,0.00131007713227334,9.51360242871521e-05,0,0.000291568480396792
Sulfuritalea sp001828935,0.00134434254272891,9.50719296991276e-05,5.09950634998842e-06,0.000267142825963964
Methylohalobius crimeensis,0.000252848482076643,9.50027535178802e-06,0,4.77097003274533e-05
Ralstonia pickettii,0.00200362507486595,9.4966047870902e-05,0,0.000377637785303118
Bog-209 sp003139995,0.00153922495004553,9.49639605914378e-05,0,0.000301444929866403
Palsa-1382 sp003167365,0.000100878387455804,9.49575086338181e-06,0,2.3173879111556e-05
Lentimicrobium sp002426025,0.000141350151352661,9.49239736962285e-06,0,2.75293214646746e-05
Bradyrhizobium manausense,0.000611618844834843,9.48793929611734e-05,0,0.000191795160904643
Kutzneria sp000568255,5.76325489817858e-05,9.4864148851006e-06,0,1.75404523301636e-05
Streptomyces sp900114955,2.65585469940881e-05,9.48519535503148e-07,0,5.01909360925566e-06
Palsa-360 sp003161495,0.0012675791237547,9.4841574729158e-05,0,0.000261170713952219
Serratia liquefaciens,0.000113158388624546,9.47853577887418e-06,0,2.81845107853757e-05
Knoellia flava,0.000105826136821269,9.4781457352932e-06,0,2.18191846303664e-05
Aquaspirillum serpens,0.000757422694155696,9.47794117142981e-05,3.09498054171227e-06,0.000225700909797242
Streptomyces sp002846625,0.000124883711523682,9.47562592812055e-06,0,2.87385448393307e-05
Chryseobacterium_A sp001898255,8.09570461728293e-06,9.47463329299729e-07,0,2.39172085893731e-06
Sphingomonas sp002280565,9.86387847701716e-05,9.47004254171882e-06,0,1.97604046987928e-05
Halorubrum hochstenium,0.000229079628362991,9.47004013654205e-06,0,4.32999382233019e-05
TM7x sp002421965,0.000171421395966167,9.46470467418804e-06,0,3.33018424840383e-05
Pseudomonas_E alcaligenes_A,9.95521068513769e-05,9.45834777463517e-06,0,2.56679705178023e-05
Bizionia_B sp002414705,8.06177231315762e-05,9.44738172337134e-06,0,2.11588114558238e-05
Thauera phenolivorans,0.000614418383007741,9.44623157582994e-05,8.11751535498962e-06,0.000191103276390048
RBG-13-68-16 sp002279285,0.000939385071646555,9.44423576974338e-05,7.62805817458911e-06,0.000231785753991666
Sphingobacterium sp001006065,8.83904726294692e-05,9.44042609518558e-06,0,2.10846434575719e-05
Pararhizobium sp900067135,9.24844556163136e-05,9.43821033986551e-06,0,2.01856799253948e-05
Pseudoxanthomonas sp000513995,0.000748785511499543,9.43702036342023e-05,3.93594944690752e-07,0.000213965614761404
Lysobacter sp001428685,0.000124179262360325,9.43062848043581e-06,0,2.8844753935511e-05
Sphingobium ummariense,0.000204279617747601,9.42591661606166e-06,0,3.86897631758184e-05
Vibrio diazotrophicus_A,1.25662230135452e-05,9.42442064585478e-07,0,3.08500957953659e-06
BOG-935 sp003165275,7.57139101241759e-05,9.41993313424805e-06,2.01112549259502e-07,1.63905470796381e-05
Bradyrhizobium sp000938255,0.000934479027626097,9.41990173841209e-05,0,0.000236449819326265
GCA-900066935 sp900066925,0.000235861313547634,9.41694054961042e-06,0,4.45540004498102e-05
Pectobacterium carotovorum_H,1.48159268407491e-05,9.41368177339136e-07,0,3.00236159052347e-06
Marivita sp003149565,0.0011406052345696,9.41074115437665e-05,0,0.000259265992963995
Anaerotignum neopropionicum,0.000127585996383279,9.40131184519298e-06,0,3.07178599424807e-05
Porphyrobacter_A mercurialis,1.4850300037937e-05,9.40056052414039e-07,0,2.92081655177301e-06
Microbacterium profundi,9.30336752004651e-05,9.4001422572985e-06,0,2.34547286653603e-05
UBA6038 sp003139615,7.29330987339724e-05,9.38238112766948e-06,0,1.88664607848339e-05
1NLA3E sp000242895,0.000252748185177763,9.37846096957696e-06,0,4.77228481913946e-05
Tolypothrix_B sp002368235,1.71662995169337e-05,9.37815487213205e-07,0,3.36477006724565e-06
Sulfitobacter_C pseudonitzschiae_A,0.000720615684011107,9.37517774517914e-05,0,0.000170316388308226
Bradyrhizobium shewense,0.000923436610269579,9.37185783924533e-05,0,0.000222185565047476
Acinetobacter sp002455755,0.000133345023855973,9.36909280375088e-06,0,3.28979939756777e-05
Rhodoluna planktonica,2.21491954251132e-05,9.36879044601192e-07,0,4.2128951767135e-06
Mangrovitalea sediminis,1.78779324123628e-05,9.36740494150886e-07,0,3.66530788930418e-06
Nodosilinea antarctica,6.13835470839564e-05,9.362960652801e-06,1.45342391820014e-06,1.67065603918402e-05
Cryobacterium psychrotolerans,9.27097758929522e-05,9.36195241227751e-06,0,2.12896488001033e-05
Halogranum amylolyticum,0.000244648797194709,9.36167345159347e-06,0,4.61431181807332e-05
Comamonas terrigena,0.000114262223665777,9.36120833628872e-06,0,2.39602987832269e-05
Cryobacterium arcticum_A,0.000733192367947256,9.3581342334021e-05,0,0.000214382208628504
Pseudomonas_E rhodesiae,0.000121445703346141,9.35672505073822e-06,0,2.58186087814945e-05
Terriglobus sp000800015,0.000170297682329638,9.35440284952562e-06,0,3.38013973045009e-05
Moraxella_A aerosaccus,7.16578657085858e-05,9.3540359831167e-06,3.32298380478529e-07,1.79270051974612e-05
Methylotenera_A sp002083635,7.09959596088455e-05,9.35313329310503e-06,6.22079250660503e-07,1.77568774026493e-05
PALSA-129 sp003167255,0.000598502982058219,9.34815473809636e-05,0,0.000174089218425159
Gallionella sp001801105,0.0012557622900232,9.34385348975589e-05,4.77680329212842e-06,0.000250392157615335
Rhodopseudomonas palustris_J,5.78089395091274e-05,9.34142574496134e-06,0,1.88389842403568e-05
Bosea vaviloviae_B,4.14756260126707e-05,9.33662527688936e-06,1.30577655692868e-06,1.38968571571942e-05
Pseudomonas_A balearica,0.000840554482702861,9.32924234404259e-05,0,0.000172215324620637
Pseudolabrys sp001899285,0.000561723900821098,9.32837729676998e-05,1.63214091456469e-06,0.000173288637425595
UBA5540 sp002423675,0.000123947183391189,9.32673774999193e-06,0,2.48970882590643e-05
Tolypothrix_B sp002368435,7.2131773548146e-06,9.32535546269253e-07,0,2.01103792342117e-06
Paludibacter sp002427885,0.0014110555978893,9.32304558446088e-05,1.29895848766197e-07,0.000341339330944395
Leptospirillum_A ferriphilum_A,0.000121716729341889,9.31844393729186e-06,0,2.38901715160419e-05
Frankia saprophytica,0.00151910092725288,9.31204633838128e-05,0,0.000293200945357096
Victivallis sp002998355,5.94090960323052e-05,9.31146400934758e-06,0,1.41065084256216e-05
Eubacterium_A sp002427305,0.000166071841282749,9.31080413668878e-06,0,3.31735410567274e-05
Enterobacter cloacae_M,0.000229955531174127,9.31050566092331e-06,0,4.33940025794447e-05
Arenimonas sp003024235,0.00037626223978436,9.30887481582492e-05,3.38361053719099e-05,0.000122257374225659
GCA-2696645 sp002709955,1.08398023425065e-05,9.30881836139691e-07,0,2.66840828682765e-06
UBA3361 sp002360535,5.3332904909448e-05,9.30729562657071e-06,3.30093030754415e-06,1.29516670042791e-05
Mastigocladopsis repens,0.000260575623436533,9.30627226559045e-06,0,4.92441640956199e-05
Porphyrobacter_A sp001897135,5.35938195202848e-05,9.30509529415891e-06,0,1.51819262479791e-05
Actinoplanes liguriensis,7.19316446009338e-05,9.29678813477732e-06,0,1.90952755373058e-05
Arenibacter certesii,0.000155705055596801,9.29281622055751e-06,0,2.98588286778605e-05
C7867-001 sp001004905,0.000860653166369572,9.28783874156284e-05,0,0.000232296639178623
Arthrobacter_I humicola,0.00213966684362616,9.28685567950835e-05,0,0.000403600063751326
Alkalibacterium olivapovliticus,0.000166286693017393,9.28501838290138e-06,0,3.34931785210945e-05
GWA2-66-18 sp001799675,7.67608600831518e-05,9.28349589424767e-06,0,2.28718899282367e-05
Afipia sp000497575,0.00158130420589791,9.27679167737628e-05,0,0.000301269368074884
Desulfomicrobium sp002412965,0.00100361326523055,9.2740707176284e-05,7.4733246740638e-06,0.000224136370191082
Chryseobacterium_B molle,9.40779786837509e-06,9.27369037588171e-07,0,2.52146077677787e-06
Demequina sp002090055,9.41600213837106e-06,9.26486925202076e-07,0,2.41452890571464e-06
Pseudomonas_E sp001465025,0.000565397363089709,9.26196378374894e-05,0,0.000165436653040187
Knoellia sp001427985,5.77461719309416e-05,9.26044544367706e-06,0,1.48486405766852e-05
UBA5619 sp001829875,0.00015072216216548,9.25787666574868e-06,0,2.99242337740961e-05
Citrobacter_A amalonaticus_D,2.36269136361946e-05,9.25568981233296e-07,0,4.45928411808511e-06
Mycolicibacterium llatzerense,0.000127606486451744,9.25138574459877e-06,0,3.0995395790721e-05
Desulfococcus_A oleovorans,0.00200324389084478,9.25136974675617e-05,0,0.00038290378529058
Pseudomonas_K oryzae,0.000111365151039992,9.25048588574727e-06,0,2.30001900369713e-05
Pseudomonas_E putida_K,0.000141388551959612,9.24888450381605e-06,0,2.81560516665784e-05
Neiella marina,2.16602001944003e-05,9.24171497131906e-07,0,4.12662272954313e-06
Kytococcus sedentarius,9.31655576351614e-05,9.24056803514641e-06,0,2.22383759125064e-05
Acidovorax_D sp002754175,0.000650458720462351,9.23545474846365e-05,1.97569436044442e-05,0.000141387417713438
UM-FILTER-63-12 sp002789955,0.000107943167838196,9.234951285605e-06,0,2.39276030864387e-05
Stenotrophomonas maltophilia_AG,0.000130793687486151,9.22851796660976e-06,0,3.38872544690066e-05
Litoreibacter ascidiaceicola,8.80017780025897e-06,9.22835451710481e-07,0,2.17761442116036e-06
Brevundimonas sp003248965,9.48443801547956e-06,9.22092751186785e-07,0,2.3261155296678e-06
Actinoplanes atraurantiacus,7.55788566995025e-05,9.22071133824039e-06,0,1.90101813361582e-05
Lawsonibacter sp900066825,0.000854748170373897,9.22001310344043e-05,6.30473955270012e-06,0.000180344730659376
Prevotella oryzae,0.00022448374001135,9.21962324083234e-06,0,4.26163769866501e-05
Smithella sp000753945,8.83662902606616e-05,9.21887543209936e-06,0,2.06463838749074e-05
UBA1926 sp002480345,0.000119208601242862,9.21705919469188e-06,0,2.56675931834484e-05
AR31 sp003220495,0.000110650805450408,9.21244919397946e-06,0,2.28586249854042e-05
Pseudomonas_E fluorescens_X,1.36373872056895e-05,9.20642445889836e-07,0,2.84530359720103e-06
CAG-56 sp900066615,0.000510251955641949,9.19896465440769e-05,8.91904929408017e-06,0.000143407636732519
Luteimonas sp002798175,0.000727742476723817,9.19504532302922e-05,1.37443064210651e-06,0.000193261885976011
Phenylobacterium hankyongense,0.000937204960903885,9.181296435829e-05,0,0.00021369545766339
Devosia sp002949085,0.000140321585080692,9.17994002129943e-06,0,2.73913168910884e-05
HRBIN16 sp002898895,0.000256960654930726,9.17716624752593e-06,0,4.85609992624988e-05
Flavobacterium terrae,0.00136998312180794,9.16889259149718e-05,0,0.000319864427802011
Massilia putida,0.00220524311196039,9.16537911760191e-05,1.22283520680018e-06,0.000414764810689429
Algoriphagus zhangzhouensis,1.17717878833229e-05,9.16391930111954e-07,0,2.47420755789598e-06
Comamonas_E serinivorans,5.21376578377459e-05,9.15557889190487e-06,0,1.62253255441713e-05
Corynebacterium xerosis,0.00164818341052749,9.15461531098424e-05,0,0.000319110612357347
Brevirhabdus pacifica,0.00103547820770415,9.15238080096695e-05,0,0.00026188017547753
Nitratireductor sp002697745,0.00245130785996589,9.14742330865216e-05,0,0.000462598364914107
SCGC-AG-212-J23 sp001644455,0.00101176614897637,9.14420647996825e-05,4.40418999729854e-07,0.00025288448865263
Flavobacterium indicum,5.57126469535229e-05,9.13361978856014e-06,0,1.80470395938495e-05
Pseudomonas_A stutzeri_H,0.00239161912834494,9.11661655155433e-05,0,0.000450965571593862
Aliarcobacter lanthieri,0.000189155611427064,9.1162568365089e-06,0,3.6385210036158e-05
UBA11358 sp003152145,0.000586877603850665,9.10334351353236e-05,1.20440529288382e-06,0.000155467743602688
UBA1931 sp002337125,7.58057327400393e-05,9.1020648636589e-06,3.40357193817705e-07,1.72689599686301e-05
Sulfurospirillum sp000743525,1.86882713559449e-05,9.10134203011043e-07,0,3.60500477997442e-06
Arenimonas sp003241895,0.000867331095280366,9.09219436806369e-05,3.30315012580143e-05,0.000177754933784046
CAG-170 sp002404795,4.69165291096242e-05,9.08785498107246e-06,6.48745623385434e-06,1.06527588387807e-05
Afipia sp000178995,0.0011623639490059,9.08773562977299e-05,4.88203447577782e-06,0.000222022546725094
Enterobacter himalayensis,0.000180512987436627,9.08690815239057e-06,0,3.48260794816658e-05
Streptomyces sp003143855,2.54424679764378e-05,9.08659570587063e-07,0,4.80817450038422e-06
Yonghaparkia sp001425665,0.000746422536071804,9.08124779252716e-05,2.33820306061096e-05,0.000162223943435004
Maritimibacter sp001626765,0.000539190174304881,9.07842709718143e-05,0,0.000164623793003878
Brachymonas denitrificans,4.53460233380867e-05,9.07348627148359e-06,9.8247315324352e-07,1.29658764641533e-05
Acidovorax_A wautersii,0.000498861160961797,9.07010892388839e-05,0,0.000146172401609604
UBA5535 sp002426835,8.48829141917919e-05,9.06118287214794e-06,0,2.19160846463512e-05
Bog-209 sp003152795,0.0011338855733784,9.05916253989204e-05,1.57138618007945e-06,0.000240820801795297
Faecalibacterium prausnitzii_A,0.000519562601428556,9.05717572336736e-05,3.22372111590146e-05,0.000125563771789543
Polaribacter porphyrae,0.000174592228793828,9.04898081556062e-06,0,3.53845931227558e-05
Palleronia sp000743715,0.00135903539188443,9.04662147649872e-05,0,0.000275291265163267
Mycobacterium lentiflavum,0.000176707923795656,9.04275349241984e-06,0,3.40916529780347e-05
Hoeflea sp002709005,0.000132254755430455,9.02825278933274e-06,0,2.58944247499072e-05
Geodermatophilus obscurus_A,0.000108901748152374,9.02671128783861e-06,0,2.39994089605579e-05
Sphingopyxis indica,9.77254626889663e-05,9.02531511038715e-06,0,2.18458441097234e-05
Empedobacter brevis,0.000197948378484486,9.02266440680977e-06,0,3.73306777807747e-05
Bradyrhizobium sp000284275,0.00197673933980559,9.02236171124719e-05,0,0.000373704026354972
Acinetobacter kookii,0.000126951769287536,9.02215185472851e-06,0,3.16046294676823e-05
Streptomyces sp000720135,2.52564548068294e-05,9.02016243101048e-07,0,4.77302131557231e-06
