MG1,JK1,PK3,sP1R,P5S1,P4B2,P2S1,P4S1,JK2,P4S3,MC2,P4WF,PK1,P5WF,fP2R,P5S2,JK3,fP1R,P3WF,MG2,P4S2,sP2R,P2WF,P3S1,MG3,PK2,sP3R,MC3,MC1,fP3R
MEG_6153|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|RUVB,0,0,0,3188.0,0,0,993.0,0,2175.0,12088.0,0,0,0,0,21031.0,0,0,4380.0,130.0,0,0,10003.0,4523.0,0,0,1773.0,2282.0,0,0,4014.0
MEG_6612|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0,0,0,0,0,0,26.0,0,0,0,0,0,0,0,23.0,0,0,0,0,0,0,0,97.0,0,0,0,0,0,0,33.0
MEG_2727|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRCSM,0,0,758.0,2308.0,0,0,0,0,1650.0,0,0,0,0,0,2489.0,0,1017.0,0,0,3332.0,0,1778.0,0,0,0,1058.0,2012.0,0,0,2652.0
MEG_2111|Drugs|betalactams|Class_B_betalactamases|CPHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,0,0,0,0,0,0,0
MEG_5854|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2027|Metals|Copper_resistance|Copper_resistance_protein|COPA,0,0,0,1206.0,0,0,0,0,755.0,0,0,0,0,0,1676.0,0,0,0,0,0,0,921.0,978.0,0,0,0,1060.0,0,0,0
MEG_3515|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|KPNF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,0,0,0,0,0
MEG_4378|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|OTRA,0,0,891.0,2801.0,0,0,836.0,0,2009.0,0,0,0,0,0,0,1427.0,1303.0,0,0,2760.0,0,1398.0,0,0,0,1564.0,2306.0,0,0,2076.0
MEG_2965|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0,361.0,546.0,1460.0,482.0,0,356.0,0,1164.0,0,0,0,0,0,1917.0,1001.0,589.0,0,0,1379.0,0,1116.0,484.0,0,0,874.0,1127.0,0,0,889.0
MEG_6140|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|RPOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.0,0,0,0,0,0,0,0
MEG_1067|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,0,0,0,402.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1234|Drugs|betalactams|Class_B_betalactamases|BJP1,0,0,261.0,567.0,0,0,0,0,576.0,0,0,0,0,0,0,0,299.0,0,0,0,0,0,0,0,0,368.0,462.0,0,0,0
MEG_52|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,0,0,0,766.0,0,0,0,0,580.0,0,0,0,0,0,0,0,289.0,0,0,620.0,0,302.0,0,0,0,405.0,518.0,0,0,0
MEG_1139|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.0
MEG_1093|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,0,0,0,1166.0,0,0,0,0,993.0,0,0,0,0,0,0,0,675.0,0,0,1290.0,0,617.0,0,0,0,668.0,1072.0,0,0,1262.0
MEG_1652|Biocides|Biguanide_resistance|Biguanide_cation_efflux|CEPAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651.0,0,0,0,0,0,0,0,599.0,0,0,0,0,0,0,0
MEG_2966|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,0,0,0,0,0,0,0
MEG_3755|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.0,0,0,0,0,0,0,0
MEG_5360|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0,1412.0,2449.0,5765.0,1599.0,0,1023.0,3004.0,4069.0,2229.0,0,0,0,0,14880.0,3284.0,2984.0,4519.0,0,3593.0,2243.0,7564.0,3197.0,0,0,3314.0,3897.0,0,0,7984.0
MEG_5322|Drugs|Pactamycin|Pactamycin-resistant_16S_ribosomal_subunit_protein|P16S|RequiresSNPConfirmation,0,0,0,614.0,0,0,0,332.0,0,385.0,0,0,0,0,0,0,0,0,0,0,863.0,1539.0,0,0,0,0,2563.0,0,0,0
MEG_6506|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.0,0,0,0,11.0,0,0,81.0,545.0,0,0,0,0,0,0,166.0
MEG_6958|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.0,0,0,0,0,0,0,0
MEG_2875|Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.0,0,0,0,0,0,0,0,666.0,0,0,0,0,0,0,0
MEG_4294|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|OPMH,0,0,534.0,1729.0,0,0,0,0,1319.0,0,0,0,0,0,2985.0,969.0,0,0,0,0,0,1625.0,2618.0,0,0,892.0,1202.0,0,0,1489.0
MEG_1055|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0,0,0,0,0,0,0,75.0,0,0,0,0,0,0,63.0
MEG_3453|Metals|Tellurium_resistance|Tellurium_resistance_protein|KLAC,0,0,0,696.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_6962|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.0,0,0,0,0,0,0,0
MEG_2852|Drugs|MLS|23S_rRNA_methyltransferases|ERMV,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_4411|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,0,0,0,0,0
MEG_3641|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA,0,0,0,0,0,0,194.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.0,0,0,0,0,0,0,0
MEG_3865|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD,0,0,0,0,0,0,0,0,0,741.0,182.0,0,0,0,267.0,124.0,0,0,10.0,171.0,55.0,118.0,177.0,13.0,0,0,108.0,85.0,189.0,112.0
MEG_6634|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,0,0,0,0,0,0,36.0,0,0,0,0,0,0,0,28.0,0,0,0,0,0,0,25.0,99.0,0,0,0,22.0,0,0,77.0
MEG_1624|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0
MEG_2872|Drugs|betalactams|Class_A_betalactamases|EXO,0,0,0,856.0,0,0,0,0,674.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.0,746.0,0,0,0
MEG_3450|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|KGMB,0,0,264.0,686.0,0,0,0,0,664.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.0,526.0,0,0,0
MEG_2873|Biocides|Phenolic_compound_resistance|Triclosan-resistant_mutation|FABG|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.0,0,0,0,0,0,0,160.0,726.0,0,0,0,0,0,0,0
MEG_54|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,0,0,0,1048.0,0,0,0,0,774.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_6609|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,0,0,0,0,0,0,0
MEG_6090|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,1078.0,1732.0,2745.0,2579.0,0,2104.0,0,2676.0,0,0,0,641.0,0,0,5369.0,3359.0,0,0,4863.0,1870.0,1983.0,1028.0,0,0,2784.0,4038.0,0,0,2817.0
MEG_6527|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SME,0,0,1854.0,4522.0,0,0,0,0,3589.0,0,0,0,0,0,5059.0,2814.0,2139.0,0,0,3757.0,0,3224.0,2264.0,0,0,2730.0,3172.0,0,0,4161.0
MEG_4407|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0,0,0,0,0,0,0,0
MEG_4160|Metals|Chromium_resistance|Chromium_resistance_protein|NFSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.0,0,0,0,0,0,0,0
MEG_3922|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXQ,0,0,0,1222.0,0,0,0,0,963.0,0,0,0,0,0,0,0,0,0,0,996.0,0,554.0,0,0,0,675.0,0,0,0,0
MEG_7269|Metals|Tellurium_resistance|Tellurium_resistance_protein|TRGA,0,0,0,408.0,0,0,0,0,260.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.0,0,0,0
MEG_7057|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.0,0,0,0,0,0,0,0,105.0,0,0,0,0,0,0,83.0
MEG_6544|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODB,0,0,0,513.0,0,0,0,0,0,1487.0,0,0,0,0,1831.0,358.0,0,0,0,532.0,157.0,983.0,327.0,0,0,0,878.0,0,0,0
MEG_6599|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,0,0,0,0,0,0,0
MEG_5261|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.0,0,0,0,0,0,0,0
MEG_886|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0
MEG_2836|Drugs|MLS|23S_rRNA_methyltransferases|ERMG,0,0,0,0,0,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7085|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,0,0,0,0,0,0,0
MEG_893|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0,0,0,0,0,0,0
MEG_4043|Drugs|MLS|Macrolide_phosphotransferases|MPHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.0,0,0,0,0,0,0,79.0,0,0,0,0,0,0,0,201.0
MEG_6100|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1237.0,0,0,0,0,0,0,0
MEG_6894|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,0,0,0
MEG_3188|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,1407.0,4253.0,6654.0,11457.0,3784.0,0,2127.0,5236.0,9154.0,3135.0,0,0,1605.0,0,33434.0,7975.0,7119.0,10580.0,206.0,8430.0,3135.0,17190.0,6738.0,681.0,0,8828.0,9496.0,0,1730.0,8696.0
MEG_6616|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0,0,0,0,0,0,60.0,0,0,0,0,0,0,0,71.0,0,0,0,0,0,0,29.0,304.0,0,0,0,0,0,0,42.0
MEG_2631|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,0,0,0,0,0,0,0
MEG_3819|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,0,0,0,0,0,0,156.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_794|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,0,0,0,0,0
MEG_1485|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|CADC,0,0,0,0,0,0,34.0,0,0,132.0,0,0,0,0,0,0,0,0,0,0,193.0,0,0,0,0,0,0,0,0,0
MEG_3438|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|IRLS,0,0,0,779.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_4283|Drugs|betalactams|Mutant_porin_proteins|OMP37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555.0,0,0,0,0,0,0,0
MEG_2457|Metals|Copper_resistance|Copper_resistance_protein|CUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983.0,0,0,0,0,0,0,0
MEG_3183|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469.0,0,0,0,0,0,0,0
MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.0,0,0,0,0,0,0,0,217.0,0,0,0,0,0,0,0
MEG_2119|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.0,0,0,0,0,0,0,0
MEG_4214|Drugs|Aminocoumarins|Aminocoumarin_efflux_pump|NOVA,0,730.0,1001.0,2745.0,0,0,946.0,0,2306.0,0,0,0,0,0,0,1995.0,1641.0,0,0,2236.0,0,1648.0,0,0,0,1808.0,2779.0,0,0,2735.0
MEG_4747|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.0,0,0,0,0,0,0,61.0,134.0,0,0,0,0,0,0,0
MEG_3192|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.0,0,0,0,0,0,0,0
MEG_4732|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,0,0,0,0,0,0,0
MEG_4380|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|OTRB,0,0,0,883.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712.0,0,0,0
MEG_8|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,0,1341.0,6307.0,6172.0,1354.0,0,3999.0,19354.0,21993.0,8086.0,0,0,553.0,0,40543.0,3019.0,4440.0,12170.0,493.0,7267.0,7768.0,16239.0,3667.0,2279.0,0,4823.0,6240.0,864.0,1051.0,40935.0
MEG_2051|Metals|Copper_resistance|Copper_resistance_protein|COPD,0,0,0,0,0,0,171.0,0,0,0,0,0,0,0,372.0,0,0,0,0,0,0,273.0,246.0,0,0,0,0,0,0,0
MEG_5342|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0,0,0,1192.0,0,0,0,0,0,0,0,0,0,0,1236.0,0,0,0,0,0,0,0,1010.0,0,0,0,0,0,0,0
MEG_2017|Metals|Copper_resistance|Copper_resistance_regulator|COMR,0,0,0,0,0,0,0,0,67.0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.0,0,0,0,0,0,0,0
MEG_2103|Drugs|betalactams|Class_B_betalactamases|CPHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.0,0,0,0,0,0,0,0
MEG_7082|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,0,0,0,0,0,0,0
MEG_4114|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|NCCH,0,0,0,460.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1534|Drugs|betalactams|Class_A_betalactamases|CARB,0,0,0,0,0,0,104.0,0,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,130.0,0,0,0,0,0,0,0
MEG_7556|Drugs|Glycopeptides|VanA-type_resistance_protein|VANXA,0,0,278.0,854.0,0,0,0,0,728.0,0,0,0,0,0,0,0,467.0,0,0,0,0,0,0,0,0,0,790.0,0,0,0
MEG_6032|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0
MEG_1544|Drugs|betalactams|Class_A_betalactamases|CARB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2808.0,0,0,0,0,0,0,0
MEG_3429|Drugs|Mycobacterium_tuberculosis-specific_Drug|Isoniazid-resistant_mutant|INHA|RequiresSNPConfirmation,0,202.0,267.0,710.0,166.0,0,200.0,0,476.0,0,0,0,102.0,0,856.0,294.0,308.0,0,0,500.0,215.0,556.0,235.0,0,0,416.0,482.0,0,0,348.0
MEG_3180|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0,0,584.0,1307.0,0,0,531.0,0,966.0,0,0,0,0,0,0,0,734.0,0,0,0,0,0,0,0,0,839.0,1207.0,0,0,1231.0
MEG_6636|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,0,0,0,0,0,0,0,72.0,0,0,0,21.0,0,0,93.0
MEG_955|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7852|Metals|Zinc_resistance|Zinc_resistance_protein|ZNEB,0,0,0,716.0,0,0,0,0,650.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2624|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,0,0,0,0,0,0,0
MEG_854|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,0,0,0,0,0,0
MEG_2495|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,0,0,0,0,0
MEG_3830|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,0,0,0,0,0
MEG_2540|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.0,0,0,0,0,0,0,0
MEG_2712|Drugs|Mycobacterium_tuberculosis-specific_Drug|Ethambutol_resistant_arabinosyltransferase|EMBC|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,1709.0,0,0,0,0,0,0,0,1078.0,0,0,0,0,0,0,0,0,1177.0,0,0,0,0
MEG_6631|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0
MEG_5400|Drugs|betalactams|Penicillin_binding_protein|PBP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332.0,1037.0,0,0,0,0,0,0,0
MEG_2664|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPSA,0,0,107.0,204.0,0,0,0,0,209.0,0,0,0,0,0,0,0,0,0,0,211.0,0,0,0,0,0,0,0,0,0,323.0
MEG_3981|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,36385.0,0,0,0,0,0,88878.0,0,0,13655.0,0,0,0,31646.0,0,0,0,0,5599.0,0,0,82874.0
MEG_4841|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,0,0,0,0,0,0,0
